county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,64.1,35.9,41.7,67.6,77.2,45.5,64.8
49003,Box Elder County,37.5,62.5,47.3,48.9,64.9,27.6,59.2
49005,Cache County,63.1,36.9,30.4,71.3,86.1,57.9,67.7
49007,Carbon County,48.5,51.5,35.1,77.7,84.4,41.7,51.5
49009,Daggett County,41.1,58.9,44.4,79.6,82.1,30.4,49.2
49011,Davis County,36.8,63.2,52.2,46.0,70.0,45.9,78.7
49013,Duchesne County,57.7,42.3,42.0,62.3,74.2,41.3,63.2
49015,Emery County,45.9,54.1,52.6,58.4,74.6,28.5,42.6
49017,Garfield County,57.0,43.0,45.7,80.6,86.8,25.8,36.5
49019,Grand County,75.1,24.9,32.0,88.6,90.7,75.9,77.8
49021,Iron County,60.6,39.4,32.4,79.6,86.5,53.2,59.7
49023,Juab County,40.9,59.1,46.2,55.5,61.1,33.3,47.7
49025,Kane County,64.2,35.8,39.3,81.1,93.3,46.4,63.6
49027,Millard County,63.8,36.2,26.5,70.0,84.5,41.6,58.7
49029,Morgan County,23.2,76.8,50.4,34.4,54.7,24.9,64.5
49031,Piute County,34.2,65.8,36.0,60.9,63.2,20.7,37.2
49033,Rich County,40.7,59.3,59.1,47.0,56.3,21.6,41.1
49035,Salt Lake County,82.4,17.6,34.7,45.2,72.7,63.5,92.4
49037,San Juan County,68.4,31.6,30.6,62.0,71.3,37.5,57.5
49039,Sanpete County,49.5,50.5,35.9,64.0,72.5,36.3,52.3
49041,Sevier County,55.4,44.6,36.8,74.5,86.5,41.9,57.4
49043,Summit County,46.7,53.3,63.1,45.3,66.8,41.5,73.4
49045,Tooele County,25.1,74.9,42.1,35.4,46.6,23.0,61.5
49047,Uintah County,56.3,43.7,27.3,71.3,79.4,51.9,61.8
49049,Utah County,62.3,37.7,31.5,52.3,72.6,46.1,77.7
49051,Wasatch County,29.0,71.0,50.7,46.2,65.0,33.1,64.7
49053,Washington County,78.5,21.5,26.6,64.5,82.9,64.8,78.5
49055,Wayne County,65.1,34.9,34.3,66.4,69.8,40.3,55.1
49057,Weber County,51.3,48.7,45.0,48.9,73.4,56.6,70.6
