year,wf_city_count,wf_county_fips,city_resident_workers,out_of_city_n,out_of_city_pct,total_commute_dist_mi,dist_n,avg_commute_dist_mi,dist_source,acs_workers,total_commute_time_min,avg_commute_time_min,t60plus_est_min
2002,90,49003|49011|49035|49049|49057,788063,640194,81.2,10027246.8,795589,12.6,block_centroid,,,,
2003,90,49003|49011|49035|49049|49057,780614,636457,81.5,10009942.7,788149,12.7,block_centroid,,,,
2004,90,49003|49011|49035|49049|49057,804616,658818,81.9,10514499.1,812089,12.95,block_centroid,,,,
2005,90,49003|49011|49035|49049|49057,829500,681361,82.1,11009156.1,837514,13.15,block_centroid,,,,
2006,90,49003|49011|49035|49049|49057,859846,703623,81.8,11180730.4,867322,12.89,block_centroid,,,,
2007,91,49003|49011|49035|49049|49057,897195,748959,83.5,12881117.9,904901,14.23,block_centroid,,,,
2008,90,49003|49011|49035|49049|49057,895863,749146,83.6,13176561.1,903823,14.58,block_centroid,,,,
2009,90,49003|49011|49035|49049|49057,846371,702129,83.0,12471722.5,853266,14.62,block_centroid,925889.0,22716253.0,24.5,97.4
2010,90,49003|49011|49035|49049|49057,846726,712060,84.1,12676064.9,855465,14.82,block_centroid,911490.0,22514147.0,24.7,98.2
2011,91,49003|49011|49035|49049|49057,868128,730780,84.2,12296946.7,872790,14.09,block_centroid,924999.0,22908523.0,24.8,96.9
2012,91,49003|49011|49035|49049|49057,887405,751625,84.7,12276138.8,892142,13.76,block_centroid,939578.0,23370395.0,24.9,98.3
2013,91,49003|49011|49035|49049|49057,920822,781245,84.8,13022288.4,925334,14.07,block_centroid,946014.0,23447806.0,24.8,97.3
2014,91,49003|49011|49035|49049|49057,953459,810285,85.0,13741179.3,957328,14.35,block_centroid,963692.0,24109058.0,25.0,99.8
2015,91,49003|49011|49035|49049|49057,1000666,844438,84.4,13647319.5,1004341,13.59,block_centroid,989396.0,24826164.0,25.1,100.9
2016,91,49003|49011|49035|49049|49057,1037757,878435,84.6,14648488.4,1042441,14.05,block_centroid,1015932.0,25542947.0,25.1,101.1
2017,91,49003|49011|49035|49049|49057,1064784,904967,85.0,15609698.9,1068083,14.61,block_centroid,1039521.0,26047242.0,25.1,99.2
2018,91,49003|49011|49035|49049|49057,1096399,933400,85.1,16064506.0,1099676,14.61,block_centroid,1065606.0,26954124.0,25.3,100.9
2019,91,49003|49011|49035|49049|49057,1125981,959942,85.3,16063834.2,1129658,14.22,block_centroid,1095308.0,27969616.0,25.5,101.1
2020,91,49003|49011|49035|49049|49057,1112117,946669,85.1,15938205.6,1114286,14.3,block_centroid,1088435.0,27865400.0,25.6,99.3
2021,91,49003|49011|49035|49049|49057,1160413,991757,85.5,17702295.2,1162636,15.23,block_centroid,1089242.0,27851073.0,25.6,98.3
2022,91,49003|49011|49035|49049|49057,1211196,1035643,85.5,18742050.1,1213584,15.44,block_centroid,1088555.0,27651976.0,25.4,97.5
2023,91,49003|49011|49035|49049|49057,1240799,1060388,85.5,18928921.6,1242762,15.23,block_centroid,1081645.0,27457308.0,25.4,95.6
