county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,36.9,63.1,54.8,72.5,78.1,22.4,38.2
49003,Box Elder County,38.2,61.8,41.8,51.4,66.8,28.1,60.8
49005,Cache County,64.1,35.9,31.6,72.4,86.6,57.5,68.4
49007,Carbon County,51.3,48.7,42.6,74.0,81.1,46.3,55.0
49009,Daggett County,6.7,93.3,66.8,80.2,85.1,3.7,7.2
49011,Davis County,37.5,62.5,49.9,47.7,70.5,47.7,81.7
49013,Duchesne County,40.1,59.9,48.3,59.7,68.8,27.0,44.1
49015,Emery County,30.1,69.9,61.7,59.4,74.2,14.0,28.3
49017,Garfield County,32.1,67.9,68.3,80.9,88.7,11.5,19.3
49019,Grand County,72.9,27.1,29.9,84.2,88.1,72.7,76.6
49021,Iron County,61.5,38.5,31.9,76.7,84.4,53.0,60.1
49023,Juab County,33.8,66.2,52.0,57.0,61.9,29.6,41.0
49025,Kane County,54.7,45.3,47.9,77.0,87.7,37.5,51.1
49027,Millard County,50.6,49.4,39.4,69.9,82.6,31.1,46.2
49029,Morgan County,22.4,77.6,45.1,37.9,60.7,22.5,69.4
49031,Piute County,6.0,94.0,82.4,68.1,74.6,3.6,14.8
49033,Rich County,15.6,84.4,78.8,59.5,65.3,9.5,18.2
49035,Salt Lake County,86.2,13.8,30.4,45.7,72.8,68.1,93.2
49037,San Juan County,49.8,50.2,51.4,61.3,74.8,26.8,38.1
49039,Sanpete County,37.9,62.1,40.3,71.6,79.4,23.6,38.6
49041,Sevier County,50.6,49.4,45.8,75.8,85.8,38.5,51.5
49043,Summit County,44.9,55.1,60.9,47.8,61.5,39.1,71.3
49045,Tooele County,30.2,69.8,44.8,36.9,45.7,25.2,60.1
49047,Uintah County,61.2,38.8,34.2,73.4,82.6,54.2,66.3
49049,Utah County,64.6,35.4,27.5,55.3,74.8,48.9,78.7
49051,Wasatch County,27.8,72.2,48.8,46.1,63.5,30.9,62.7
49053,Washington County,78.4,21.6,24.3,67.7,84.3,66.3,78.9
49055,Wayne County,20.1,79.9,69.5,80.4,86.9,11.3,18.1
49057,Weber County,54.2,45.8,43.3,52.3,75.7,60.6,73.5
