county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,38.3,61.7,56.3,69.7,76.9,25.9,40.1
49003,Box Elder County,38.4,61.6,41.9,52.2,68.0,28.1,60.9
49005,Cache County,64.2,35.8,31.4,72.6,86.7,57.6,68.7
49007,Carbon County,50.8,49.2,43.1,75.9,81.9,46.6,55.0
49009,Daggett County,5.1,94.9,71.7,73.6,76.9,2.4,5.3
49011,Davis County,36.8,63.2,50.6,48.5,71.6,46.8,81.2
49013,Duchesne County,39.2,60.8,50.8,56.3,67.0,25.9,43.9
49015,Emery County,30.7,69.3,63.0,60.9,76.3,15.6,30.0
49017,Garfield County,31.3,68.7,67.1,78.9,85.7,12.1,19.1
49019,Grand County,73.2,26.8,31.0,83.3,86.5,72.2,76.4
49021,Iron County,60.7,39.3,32.6,76.3,84.3,52.5,59.0
49023,Juab County,36.0,64.0,50.9,58.3,65.4,30.2,42.0
49025,Kane County,55.1,44.9,49.1,74.4,85.5,39.4,53.2
49027,Millard County,52.6,47.4,38.2,68.5,81.3,33.5,48.0
49029,Morgan County,20.9,79.1,47.0,38.4,59.7,21.1,68.1
49031,Piute County,8.1,91.9,75.2,62.2,69.2,3.6,15.8
49033,Rich County,15.0,85.0,81.8,55.9,66.5,7.2,13.7
49035,Salt Lake County,85.8,14.2,30.7,45.4,72.7,67.9,93.1
49037,San Juan County,46.5,53.5,50.8,63.3,75.9,26.4,36.6
49039,Sanpete County,39.9,60.1,37.4,69.5,77.0,25.5,41.2
49041,Sevier County,49.5,50.5,46.4,76.0,86.7,37.3,50.6
49043,Summit County,44.6,55.4,60.6,47.2,61.8,39.0,70.9
49045,Tooele County,28.5,71.5,45.5,37.2,46.6,23.8,59.1
49047,Uintah County,56.9,43.1,36.1,72.2,81.6,50.6,62.0
49049,Utah County,64.2,35.8,28.3,54.5,74.9,48.3,78.4
49051,Wasatch County,28.1,71.9,49.1,47.1,65.0,31.0,63.1
49053,Washington County,77.5,22.5,26.0,67.7,84.6,65.3,77.9
49055,Wayne County,16.8,83.2,70.0,77.7,87.1,10.7,15.2
49057,Weber County,53.9,46.1,44.4,52.0,75.9,60.1,73.0
