county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,65.9,34.1,50.2,,,42.4,69.3
49003,Box Elder County,53.5,46.5,42.3,,,35.1,70.7
49005,Cache County,72.3,27.7,24.5,,,66.5,76.8
49007,Carbon County,62.8,37.2,23.8,,,58.5,70.3
49009,Daggett County,66.9,33.1,68.4,,,34.6,80.8
49011,Davis County,39.5,60.5,45.1,,,49.4,82.4
49013,Duchesne County,70.0,30.0,38.0,,,55.9,77.0
49015,Emery County,68.5,31.5,68.8,,,47.8,75.0
49017,Garfield County,58.3,41.7,66.4,,,29.1,47.5
49019,Grand County,83.7,16.3,11.8,,,84.5,86.6
49021,Iron County,71.5,28.5,18.2,,,61.2,69.6
49023,Juab County,53.9,46.1,39.7,,,49.5,59.4
49025,Kane County,69.0,31.0,21.4,,,63.5,68.5
49027,Millard County,72.8,27.2,29.8,,,41.1,66.7
49029,Morgan County,32.3,67.7,43.1,,,31.3,76.9
49031,Piute County,28.9,71.1,45.0,,,13.6,35.6
49033,Rich County,56.5,43.5,47.2,,,27.5,57.8
49035,Salt Lake County,87.0,13.0,24.3,,,70.6,92.3
49037,San Juan County,85.3,14.7,28.8,,,53.9,72.0
49039,Sanpete County,57.7,42.3,34.2,,,39.7,58.9
49041,Sevier County,64.5,35.5,21.5,,,51.3,66.0
49043,Summit County,59.3,40.7,53.8,,,49.5,85.5
49045,Tooele County,34.6,65.4,35.8,,,27.8,64.2
49047,Uintah County,78.3,21.7,17.7,,,72.6,82.8
49049,Utah County,70.3,29.7,22.8,,,55.7,79.3
49051,Wasatch County,37.1,62.9,40.0,,,38.4,71.2
49053,Washington County,84.6,15.4,13.8,,,71.9,85.6
49055,Wayne County,54.8,45.2,36.6,,,41.8,60.9
49057,Weber County,54.9,45.1,40.3,,,61.1,73.3
