county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,73.6,26.4,47.8,,,50.7,73.8
49003,Box Elder County,57.0,43.0,37.8,,,38.5,72.6
49005,Cache County,72.7,27.3,21.9,,,67.0,77.8
49007,Carbon County,63.8,36.2,23.0,,,58.5,70.3
49009,Daggett County,65.5,34.5,65.3,,,23.1,71.1
49011,Davis County,39.2,60.8,43.2,,,50.3,83.4
49013,Duchesne County,73.7,26.3,36.4,,,55.2,77.7
49015,Emery County,68.3,31.7,68.8,,,52.7,75.5
49017,Garfield County,59.5,40.5,61.3,,,36.5,51.7
49019,Grand County,83.0,17.0,10.8,,,83.2,85.0
49021,Iron County,72.5,27.5,18.3,,,63.4,70.7
49023,Juab County,53.3,46.7,31.2,,,47.6,58.0
49025,Kane County,77.8,22.2,19.6,,,67.0,72.2
49027,Millard County,73.2,26.8,33.9,,,39.2,66.4
49029,Morgan County,30.7,69.3,37.6,,,29.2,74.5
49031,Piute County,44.1,55.9,36.3,,,19.9,47.9
49033,Rich County,48.7,51.3,50.0,,,17.3,47.1
49035,Salt Lake County,88.8,11.2,24.4,,,72.8,93.4
49037,San Juan County,87.7,12.3,26.8,,,53.3,74.1
49039,Sanpete County,59.6,40.4,38.5,,,41.3,61.1
49041,Sevier County,69.3,30.7,21.7,,,54.9,70.4
49043,Summit County,55.7,44.3,54.6,,,47.8,84.2
49045,Tooele County,36.3,63.7,31.9,,,31.2,65.3
49047,Uintah County,75.1,24.9,13.4,,,70.8,80.0
49049,Utah County,69.6,30.4,21.7,,,56.0,78.4
49051,Wasatch County,30.4,69.6,39.2,,,32.3,68.6
49053,Washington County,84.7,15.3,13.2,,,71.8,85.2
49055,Wayne County,69.2,30.8,34.2,,,44.8,62.7
49057,Weber County,56.4,43.6,38.4,,,62.1,73.6
