county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,63.9,36.1,45.6,64.7,73.4,46.6,65.6
49003,Box Elder County,41.1,58.9,44.6,51.0,66.1,30.5,61.9
49005,Cache County,63.0,37.0,29.2,73.5,86.0,57.6,68.2
49007,Carbon County,49.4,50.6,38.6,76.2,82.4,43.7,52.7
49009,Daggett County,39.4,60.6,46.5,79.8,81.1,24.9,47.0
49011,Davis County,37.0,63.0,51.4,46.6,69.7,45.9,79.9
49013,Duchesne County,58.7,41.3,41.8,61.8,74.1,43.1,64.8
49015,Emery County,46.6,53.4,53.4,60.3,74.9,28.7,44.5
49017,Garfield County,59.3,40.7,42.4,78.7,85.5,25.3,36.0
49019,Grand County,76.1,23.9,26.2,86.0,89.1,76.9,78.8
49021,Iron County,59.8,40.2,29.5,76.3,84.4,52.4,58.7
49023,Juab County,41.8,58.2,43.0,53.1,60.2,35.4,47.1
49025,Kane County,64.5,35.5,39.4,84.4,92.8,57.1,63.8
49027,Millard County,63.5,36.5,26.4,70.7,85.6,41.0,58.0
49029,Morgan County,22.5,77.5,50.7,34.6,53.4,23.2,66.0
49031,Piute County,37.4,62.6,50.0,74.3,74.7,17.0,39.1
49033,Rich County,36.1,63.9,60.8,50.9,55.7,20.5,39.0
49035,Salt Lake County,84.3,15.7,31.8,44.2,72.6,66.6,92.8
49037,San Juan County,70.5,29.5,33.6,60.6,72.5,38.0,55.1
49039,Sanpete County,50.4,49.6,34.6,68.5,76.7,35.8,53.3
49041,Sevier County,59.3,40.7,36.0,73.4,85.4,45.1,60.8
49043,Summit County,46.3,53.7,61.4,45.1,62.9,39.9,73.6
49045,Tooele County,25.6,74.4,42.4,38.7,51.6,22.5,60.2
49047,Uintah County,58.4,41.6,28.9,70.9,78.2,52.7,63.2
49049,Utah County,64.2,35.8,29.6,54.4,74.2,47.5,78.5
49051,Wasatch County,28.9,71.1,48.6,44.6,61.9,31.1,64.7
49053,Washington County,79.1,20.9,25.2,66.9,85.9,65.6,79.0
49055,Wayne County,62.7,37.3,42.2,71.0,81.6,38.0,52.7
49057,Weber County,51.9,48.1,44.3,52.6,75.4,58.1,71.9
