county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,65.8,34.2,51.4,,,40.6,66.3
49003,Box Elder County,51.2,48.8,40.2,,,33.5,68.3
49005,Cache County,69.9,30.1,24.4,,,63.6,74.2
49007,Carbon County,61.8,38.2,23.8,,,57.6,69.4
49009,Daggett County,65.2,34.8,63.4,,,31.9,76.8
49011,Davis County,47.2,52.8,62.9,,,53.3,84.0
49013,Duchesne County,69.6,30.4,40.0,,,56.0,77.0
49015,Emery County,66.4,33.6,66.5,,,47.5,74.2
49017,Garfield County,58.5,41.5,58.5,,,28.7,49.9
49019,Grand County,83.4,16.6,11.7,,,83.7,85.6
49021,Iron County,70.1,29.9,18.1,,,60.9,68.4
49023,Juab County,51.5,48.5,40.9,,,47.7,56.9
49025,Kane County,68.6,31.4,23.2,,,63.9,69.0
49027,Millard County,68.3,31.7,26.0,,,39.2,62.4
49029,Morgan County,30.1,69.9,37.4,,,28.8,75.7
49031,Piute County,47.7,52.3,41.3,,,22.4,52.1
49033,Rich County,54.2,45.8,57.0,,,25.4,58.8
49035,Salt Lake County,85.8,14.2,20.2,,,70.1,91.8
49037,San Juan County,85.9,14.1,32.1,,,54.8,73.7
49039,Sanpete County,56.0,44.0,33.9,,,38.7,57.6
49041,Sevier County,64.3,35.7,20.8,,,51.1,66.3
49043,Summit County,60.0,40.0,54.3,,,50.8,85.1
49045,Tooele County,34.4,65.6,34.1,,,26.8,63.8
49047,Uintah County,77.3,22.7,17.9,,,71.9,82.4
49049,Utah County,71.3,28.7,23.4,,,57.2,79.7
49051,Wasatch County,37.1,62.9,40.2,,,38.1,71.8
49053,Washington County,84.5,15.5,14.1,,,71.8,85.4
49055,Wayne County,55.7,44.3,40.1,,,40.9,60.4
49057,Weber County,52.3,47.7,34.0,,,60.5,75.0
