county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,70.1,29.9,49.9,,,45.6,70.7
49003,Box Elder County,53.8,46.2,37.9,,,36.0,71.5
49005,Cache County,72.3,27.7,23.1,,,66.7,77.4
49007,Carbon County,62.5,37.5,23.0,,,58.3,69.5
49009,Daggett County,65.5,34.5,68.2,,,35.3,75.9
49011,Davis County,40.5,59.5,44.3,,,50.3,83.0
49013,Duchesne County,70.7,29.3,38.9,,,54.8,77.1
49015,Emery County,64.3,35.7,68.8,,,47.1,71.7
49017,Garfield County,51.7,48.3,73.0,,,31.8,45.0
49019,Grand County,81.6,18.4,11.8,,,83.2,84.9
49021,Iron County,71.7,28.3,17.9,,,61.6,70.1
49023,Juab County,55.4,44.6,35.1,,,50.7,58.9
49025,Kane County,66.4,33.6,23.3,,,62.8,68.6
49027,Millard County,74.7,25.3,30.9,,,39.7,67.1
49029,Morgan County,33.2,66.8,41.4,,,32.0,76.8
49031,Piute County,33.5,66.5,41.9,,,18.3,44.6
49033,Rich County,53.9,46.1,53.1,,,24.3,60.2
49035,Salt Lake County,87.4,12.6,23.8,,,71.2,92.6
49037,San Juan County,85.6,14.4,30.7,,,53.0,73.4
49039,Sanpete County,58.6,41.4,38.2,,,39.9,59.2
49041,Sevier County,64.5,35.5,20.7,,,51.3,65.6
49043,Summit County,59.9,40.1,53.5,,,50.7,85.1
49045,Tooele County,35.5,64.5,32.2,,,30.6,65.2
49047,Uintah County,76.4,23.6,16.8,,,71.8,82.5
49049,Utah County,70.2,29.8,22.4,,,56.2,79.2
49051,Wasatch County,32.3,67.7,42.3,,,34.4,70.1
49053,Washington County,84.3,15.7,13.6,,,71.7,85.2
49055,Wayne County,65.2,34.8,38.0,,,42.6,58.8
49057,Weber County,55.7,44.3,40.3,,,61.9,73.8
