county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,67.4,32.6,24.2,78.4,82.1,41.7,67.9
49003,Box Elder County,43.8,56.2,42.7,52.8,68.5,30.8,62.9
49005,Cache County,63.7,36.3,29.3,72.7,86.2,57.7,68.3
49007,Carbon County,54.7,45.3,37.8,72.3,81.1,50.4,57.4
49009,Daggett County,50.1,49.9,32.9,78.4,81.3,42.3,58.6
49011,Davis County,37.0,63.0,49.1,47.9,70.4,45.5,81.4
49013,Duchesne County,60.2,39.8,33.7,64.7,72.4,46.2,64.5
49015,Emery County,50.3,49.7,36.9,57.7,70.5,33.4,57.2
49017,Garfield County,63.9,36.1,32.0,81.0,88.4,35.2,55.4
49019,Grand County,72.9,27.1,25.2,82.2,86.5,71.2,72.7
49021,Iron County,64.8,35.2,28.4,79.5,87.7,55.9,63.4
49023,Juab County,44.6,55.4,41.3,54.6,59.7,39.1,48.8
49025,Kane County,61.0,39.0,33.1,69.0,81.2,54.8,61.4
49027,Millard County,64.0,36.0,22.5,71.7,84.4,41.0,57.3
49029,Morgan County,25.8,74.2,41.0,40.1,56.5,25.9,71.7
49031,Piute County,31.4,68.6,36.2,55.4,62.4,15.3,35.4
49033,Rich County,34.2,65.8,49.8,64.5,72.2,17.8,37.4
49035,Salt Lake County,86.3,13.7,30.0,46.4,73.5,67.8,92.6
49037,San Juan County,76.2,23.8,34.5,67.1,75.7,39.9,60.3
49039,Sanpete County,48.9,51.1,31.3,71.9,80.2,33.7,50.6
49041,Sevier County,58.8,41.2,33.4,76.9,87.5,45.2,59.7
49043,Summit County,53.2,46.8,51.7,49.6,64.5,45.5,79.2
49045,Tooele County,32.4,67.6,40.4,37.4,49.0,27.9,62.2
49047,Uintah County,67.1,32.9,26.7,70.5,80.1,60.9,71.0
49049,Utah County,64.3,35.7,26.6,56.9,75.6,48.3,76.9
49051,Wasatch County,30.5,69.5,44.3,51.4,69.9,31.6,64.9
49053,Washington County,76.9,23.1,28.7,65.4,83.1,63.8,76.3
49055,Wayne County,69.5,30.5,26.3,87.0,91.0,37.4,54.3
49057,Weber County,54.5,45.5,42.8,52.8,75.2,59.5,72.4
