county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,70.3,29.7,42.3,74.5,81.7,47.1,71.6
49003,Box Elder County,42.3,57.7,42.2,52.3,67.3,31.9,64.1
49005,Cache County,65.6,34.4,27.6,72.9,86.1,59.8,70.7
49007,Carbon County,53.8,46.2,35.8,78.1,83.9,48.7,58.3
49009,Daggett County,37.8,62.2,61.5,67.5,71.9,26.9,43.5
49011,Davis County,37.8,62.2,49.3,47.8,70.9,47.1,81.1
49013,Duchesne County,62.4,37.6,44.4,57.6,69.0,45.1,69.1
49015,Emery County,50.4,49.6,50.3,62.5,77.7,31.5,48.2
49017,Garfield County,63.2,36.8,42.7,77.1,83.3,28.5,39.4
49019,Grand County,75.6,24.4,23.2,83.5,88.5,75.4,78.1
49021,Iron County,62.5,37.5,25.5,76.3,85.3,55.7,62.2
49023,Juab County,45.6,54.4,43.7,55.7,65.1,37.1,50.7
49025,Kane County,64.3,35.7,35.8,78.4,87.7,55.8,63.4
49027,Millard County,67.1,32.9,25.4,71.6,84.1,42.6,61.3
49029,Morgan County,24.5,75.5,44.4,34.9,55.6,24.6,69.7
49031,Piute County,34.0,66.0,53.1,62.6,69.6,16.3,39.8
49033,Rich County,39.5,60.5,49.5,58.9,70.6,23.9,43.8
49035,Salt Lake County,85.9,14.1,29.8,44.2,72.4,68.6,93.4
49037,San Juan County,68.7,31.3,37.8,64.3,74.1,43.3,59.6
49039,Sanpete County,53.0,47.0,33.1,68.9,77.3,38.9,56.0
49041,Sevier County,62.1,37.9,33.0,74.4,85.7,47.8,62.8
49043,Summit County,48.0,52.0,60.4,47.3,62.4,42.6,75.7
49045,Tooele County,27.8,72.2,42.4,38.2,48.8,25.0,62.3
49047,Uintah County,62.6,37.4,26.8,71.7,79.8,56.9,67.7
49049,Utah County,65.6,34.4,26.5,54.5,74.8,49.4,79.5
49051,Wasatch County,30.5,69.5,44.3,45.0,62.0,33.2,65.6
49053,Washington County,81.9,18.1,20.3,67.0,84.3,68.2,81.7
49055,Wayne County,60.0,40.0,38.4,70.4,82.7,33.5,49.2
49057,Weber County,53.7,46.3,43.2,52.8,75.8,60.4,73.3
