county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,42.2,57.8,49.8,75.1,79.1,25.9,43.4
49003,Box Elder County,38.8,61.2,40.8,52.5,68.1,28.2,61.4
49005,Cache County,64.4,35.6,31.4,72.3,86.4,58.7,68.9
49007,Carbon County,54.0,46.0,42.3,72.1,79.8,48.2,56.6
49009,Daggett County,6.9,93.1,71.8,76.5,80.5,4.5,6.8
49011,Davis County,37.9,62.1,48.9,48.0,70.5,47.5,81.7
49013,Duchesne County,39.1,60.9,46.4,61.4,71.2,28.7,43.3
49015,Emery County,37.5,62.5,58.7,57.0,72.2,17.5,34.8
49017,Garfield County,36.5,63.5,62.9,82.1,90.4,12.0,21.5
49019,Grand County,74.1,25.9,30.1,84.0,88.3,76.3,77.6
49021,Iron County,62.2,37.8,31.1,78.5,85.9,54.5,61.2
49023,Juab County,36.1,63.9,48.9,58.7,63.5,32.7,42.8
49025,Kane County,55.4,44.6,47.0,71.4,82.1,51.4,56.6
49027,Millard County,54.4,45.6,38.3,68.8,82.9,34.5,50.0
49029,Morgan County,23.8,76.2,49.6,38.8,57.9,24.0,69.6
49031,Piute County,9.0,91.0,76.3,66.2,73.3,4.4,15.3
49033,Rich County,23.3,76.7,71.3,67.0,70.0,9.9,21.1
49035,Salt Lake County,86.5,13.5,30.1,46.3,73.2,67.6,93.1
49037,San Juan County,51.2,48.8,47.7,64.2,75.1,28.4,39.6
49039,Sanpete County,39.5,60.5,38.9,70.8,78.7,24.7,40.4
49041,Sevier County,51.6,48.4,44.7,75.4,86.6,39.8,52.3
49043,Summit County,46.8,53.2,59.7,49.2,63.3,41.0,72.2
49045,Tooele County,31.4,68.6,44.4,36.9,47.7,27.3,61.7
49047,Uintah County,67.2,32.8,34.8,71.5,79.8,62.5,73.1
49049,Utah County,64.4,35.6,26.4,56.0,75.2,48.4,78.0
49051,Wasatch County,27.6,72.4,51.7,49.4,66.2,29.5,63.4
49053,Washington County,77.9,22.1,24.7,66.8,84.0,65.3,78.4
49055,Wayne County,26.3,73.7,65.3,83.4,91.2,17.9,24.3
49057,Weber County,52.6,47.4,44.5,53.2,75.7,58.8,72.3
