county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,49.7,50.3,49.5,70.6,77.8,34.3,51.4
49003,Box Elder County,40.4,59.6,42.4,51.6,67.4,29.6,61.8
49005,Cache County,63.3,36.7,30.9,72.0,86.5,57.6,68.8
49007,Carbon County,49.6,50.4,42.1,77.1,82.9,45.5,54.1
49009,Daggett County,9.6,90.4,69.0,69.8,73.4,4.4,10.1
49011,Davis County,36.9,63.1,50.2,48.2,71.6,46.4,80.5
49013,Duchesne County,49.1,50.9,49.8,55.9,66.6,33.4,53.6
49015,Emery County,39.3,60.7,57.9,62.1,76.9,21.0,37.6
49017,Garfield County,45.8,54.2,52.0,79.0,84.3,18.5,28.5
49019,Grand County,72.4,27.6,28.0,82.0,85.5,71.1,74.8
49021,Iron County,60.1,39.9,32.8,77.0,84.2,51.4,58.4
49023,Juab County,39.9,60.1,43.8,57.1,65.1,33.1,47.0
49025,Kane County,58.7,41.3,43.1,75.8,86.7,41.8,49.2
49027,Millard County,58.7,41.3,32.3,69.0,80.7,35.9,54.0
49029,Morgan County,21.7,78.3,45.6,35.4,57.9,22.2,66.9
49031,Piute County,12.5,87.5,71.5,64.8,70.6,5.3,19.6
49033,Rich County,25.5,74.5,63.3,58.6,69.6,14.4,27.6
49035,Salt Lake County,85.7,14.3,30.8,44.5,72.2,68.0,93.1
49037,San Juan County,56.2,43.8,45.5,63.6,73.7,30.8,43.4
49039,Sanpete County,43.8,56.2,35.1,68.3,76.3,29.9,45.8
49041,Sevier County,53.6,46.4,40.6,75.4,85.9,40.8,55.0
49043,Summit County,45.8,54.2,59.5,45.9,60.8,39.7,72.4
49045,Tooele County,26.6,73.4,44.7,38.2,47.8,23.6,61.2
49047,Uintah County,59.2,40.8,32.4,72.5,81.5,53.2,64.9
49049,Utah County,63.9,36.1,28.3,54.7,74.9,47.6,78.0
49051,Wasatch County,27.0,73.0,48.2,44.6,61.3,30.6,63.6
49053,Washington County,78.7,21.3,25.8,67.7,84.2,65.1,78.5
49055,Wayne County,37.1,62.9,51.6,71.2,82.3,21.3,31.3
49057,Weber County,53.4,46.6,44.1,51.9,75.4,59.5,72.6
