county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,63.8,36.2,42.5,59.5,73.5,43.8,64.6
49003,Box Elder County,38.4,61.6,47.1,49.1,65.1,28.0,60.1
49005,Cache County,63.8,36.2,29.2,72.2,85.8,58.8,69.0
49007,Carbon County,50.4,49.6,33.8,76.5,83.5,44.1,54.1
49009,Daggett County,34.6,65.4,53.7,87.2,94.7,25.9,42.7
49011,Davis County,37.0,63.0,51.8,45.1,69.6,46.4,79.5
49013,Duchesne County,55.4,44.6,41.6,62.3,74.4,41.4,62.0
49015,Emery County,49.2,50.8,48.7,56.7,72.9,30.2,46.2
49017,Garfield County,58.4,41.6,45.2,76.2,86.3,23.5,37.0
49019,Grand County,74.3,25.7,28.9,90.4,92.0,74.4,76.9
49021,Iron County,60.2,39.8,31.4,79.0,86.1,52.7,59.3
49023,Juab County,41.0,59.0,43.7,54.5,59.9,33.5,46.9
49025,Kane County,62.4,37.6,42.1,84.1,94.2,53.7,61.5
49027,Millard County,63.5,36.5,25.6,72.1,85.2,39.9,57.8
49029,Morgan County,22.4,77.6,49.0,33.6,52.3,25.0,65.3
49031,Piute County,34.0,66.0,42.8,59.8,61.7,18.7,39.3
49033,Rich County,40.8,59.2,54.3,45.3,55.7,20.4,40.4
49035,Salt Lake County,83.0,17.0,34.0,44.7,72.5,63.8,92.6
49037,San Juan County,69.2,30.8,29.9,62.1,75.5,39.3,56.0
49039,Sanpete County,50.4,49.6,35.0,65.3,73.8,35.9,53.0
49041,Sevier County,58.6,41.4,37.1,74.6,86.8,44.7,60.3
49043,Summit County,45.2,54.8,63.1,45.7,66.8,39.5,72.6
49045,Tooele County,25.3,74.7,43.9,36.8,48.4,23.0,61.3
49047,Uintah County,55.8,44.2,28.8,69.9,78.7,51.4,61.2
49049,Utah County,62.7,37.3,30.5,51.7,72.2,46.1,78.0
49051,Wasatch County,27.5,72.5,51.1,47.0,64.6,31.9,63.4
49053,Washington County,79.6,20.4,26.1,66.2,84.3,66.3,79.7
49055,Wayne County,64.3,35.7,34.1,77.0,79.6,37.7,55.1
49057,Weber County,51.8,48.2,44.8,49.0,73.7,57.5,71.4
