county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,53.1,46.9,62.9,,,31.9,55.2
49003,Box Elder County,47.1,52.9,46.0,,,33.3,65.1
49005,Cache County,65.1,34.9,28.4,,,59.8,70.6
49007,Carbon County,51.8,48.2,32.4,,,47.0,57.3
49009,Daggett County,46.7,53.3,72.3,,,19.2,54.8
49011,Davis County,35.9,64.1,49.5,,,46.6,81.2
49013,Duchesne County,64.6,35.4,43.9,,,46.9,66.3
49015,Emery County,51.0,49.0,71.4,,,37.5,55.4
49017,Garfield County,50.0,50.0,69.7,,,26.5,44.6
49019,Grand County,76.6,23.4,16.1,,,77.3,79.0
49021,Iron County,66.5,33.5,26.0,,,58.8,65.5
49023,Juab County,46.3,53.7,49.2,,,42.3,50.5
49025,Kane County,59.5,40.5,32.0,,,56.4,61.6
49027,Millard County,63.2,36.8,36.7,,,35.2,56.0
49029,Morgan County,29.3,70.7,50.6,,,26.3,71.1
49031,Piute County,24.1,75.9,63.3,,,11.2,29.2
49033,Rich County,46.6,53.4,67.2,,,20.7,49.0
49035,Salt Lake County,86.0,14.0,26.5,,,69.1,92.2
49037,San Juan County,80.5,19.5,36.9,,,45.9,66.7
49039,Sanpete County,48.1,51.9,44.6,,,33.0,49.3
49041,Sevier County,54.5,45.5,31.6,,,43.1,56.7
49043,Summit County,58.2,41.8,58.9,,,49.6,82.3
49045,Tooele County,32.3,67.7,41.0,,,25.5,62.4
49047,Uintah County,70.7,29.3,25.2,,,66.6,76.3
49049,Utah County,66.7,33.3,24.9,,,51.3,77.4
49051,Wasatch County,34.1,65.9,48.3,,,35.6,69.8
49053,Washington County,81.9,18.1,20.6,,,68.3,82.0
49055,Wayne County,55.8,44.2,55.3,,,34.2,46.8
49057,Weber County,53.3,46.7,44.0,,,59.7,72.6
