county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,63.8,36.2,45.3,68.6,76.9,42.2,65.4
49003,Box Elder County,41.5,58.5,44.0,51.4,66.3,30.6,62.2
49005,Cache County,63.2,36.8,29.5,73.3,85.7,57.5,68.5
49007,Carbon County,50.8,49.2,37.0,77.6,83.0,45.5,54.2
49009,Daggett County,37.0,63.0,52.0,72.7,74.2,24.0,42.0
49011,Davis County,37.0,63.0,51.4,47.6,70.9,45.9,80.0
49013,Duchesne County,58.8,41.2,41.1,60.6,72.8,43.5,66.7
49015,Emery County,48.8,51.2,49.7,59.9,74.7,29.7,46.7
49017,Garfield County,63.8,36.2,41.7,76.2,83.5,27.6,38.4
49019,Grand County,76.5,23.5,28.0,83.6,86.4,76.9,78.9
49021,Iron County,60.1,39.9,29.4,75.7,84.6,52.1,59.1
49023,Juab County,41.9,58.1,45.2,55.3,63.4,35.7,48.1
49025,Kane County,65.1,34.9,37.7,83.6,90.0,56.1,63.1
49027,Millard County,66.7,33.3,27.4,70.0,84.3,42.6,59.4
49029,Morgan County,22.8,77.2,47.0,36.9,52.6,22.8,66.2
49031,Piute County,37.1,62.9,54.0,59.9,62.5,18.3,40.1
49033,Rich County,37.7,62.3,55.3,58.4,69.5,18.2,41.2
49035,Salt Lake County,84.7,15.3,31.4,44.0,72.4,67.2,92.8
49037,San Juan County,68.6,31.4,38.5,61.4,73.3,39.4,57.1
49039,Sanpete County,50.8,49.2,34.9,68.9,77.1,36.5,53.7
49041,Sevier County,58.5,41.5,35.2,74.3,86.3,44.5,60.2
49043,Summit County,47.2,52.8,61.2,45.2,62.7,41.1,74.0
49045,Tooele County,25.7,74.3,42.5,40.4,52.9,23.1,60.7
49047,Uintah County,58.7,41.3,29.8,69.7,78.0,53.0,63.9
49049,Utah County,64.0,36.0,28.3,55.0,74.8,47.6,78.3
49051,Wasatch County,28.2,71.8,48.3,45.8,61.0,31.4,65.1
49053,Washington County,79.4,20.6,24.9,65.8,85.7,65.6,79.1
49055,Wayne County,59.9,40.1,43.7,71.3,82.8,31.4,50.1
49057,Weber County,52.3,47.7,44.6,52.6,75.6,58.6,72.2
