county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,62.5,37.5,42.5,67.6,74.3,43.8,63.2
49003,Box Elder County,36.7,63.3,46.9,49.6,66.3,26.9,57.6
49005,Cache County,62.0,38.0,29.2,71.0,85.5,54.1,66.6
49007,Carbon County,48.9,51.1,35.1,76.4,82.2,42.4,52.2
49009,Daggett County,39.3,60.7,41.1,78.0,83.5,26.5,47.5
49011,Davis County,37.4,62.6,51.5,45.8,70.2,46.0,79.0
49013,Duchesne County,56.5,43.5,44.1,62.7,73.7,41.2,62.3
49015,Emery County,43.4,56.6,54.9,56.2,73.3,27.5,43.2
49017,Garfield County,58.2,41.8,45.3,80.9,87.8,27.3,38.0
49019,Grand County,74.7,25.3,29.9,84.7,88.0,76.0,77.9
49021,Iron County,61.1,38.9,31.2,77.3,85.8,53.5,59.9
49023,Juab County,40.6,59.4,46.3,58.0,66.6,33.1,46.9
49025,Kane County,64.7,35.3,39.5,78.8,87.6,47.7,63.7
49027,Millard County,63.1,36.9,27.1,71.2,83.5,41.4,58.3
49029,Morgan County,22.9,77.1,51.8,36.3,58.9,24.5,63.8
49031,Piute County,36.2,63.8,43.9,44.9,46.7,22.1,39.9
49033,Rich County,41.2,58.8,55.7,54.8,66.5,24.4,41.3
49035,Salt Lake County,82.8,17.2,34.9,45.3,72.9,63.8,92.9
49037,San Juan County,71.1,28.9,30.8,58.3,71.2,43.2,62.3
49039,Sanpete County,49.7,50.3,37.1,63.2,72.4,35.3,52.4
49041,Sevier County,57.0,43.0,36.0,72.5,86.6,44.0,59.4
49043,Summit County,46.2,53.8,64.5,46.6,68.2,40.8,72.8
49045,Tooele County,24.9,75.1,42.7,37.1,47.3,22.9,61.3
49047,Uintah County,57.1,42.9,27.5,69.3,77.0,52.5,62.6
49049,Utah County,61.9,38.1,30.8,51.8,71.9,45.4,77.7
49051,Wasatch County,28.0,72.0,51.3,46.2,65.4,32.9,64.3
49053,Washington County,79.0,21.0,25.7,64.8,83.4,65.8,79.3
49055,Wayne County,65.6,34.4,40.5,70.8,73.6,38.6,56.3
49057,Weber County,52.1,47.9,44.6,47.4,72.7,57.4,71.2
