county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,64.3,35.7,46.5,61.9,72.0,43.2,65.8
49003,Box Elder County,41.3,58.7,44.3,49.2,65.1,30.7,62.9
49005,Cache County,64.0,36.0,29.2,73.2,85.9,58.7,69.2
49007,Carbon County,48.4,51.6,36.6,76.4,82.7,42.3,51.7
49009,Daggett County,33.8,66.2,45.3,82.1,84.5,26.5,43.4
49011,Davis County,37.2,62.8,51.3,46.1,69.3,46.1,80.0
49013,Duchesne County,57.9,42.1,41.5,61.8,74.5,44.1,65.4
49015,Emery County,46.4,53.6,56.9,59.2,74.4,27.6,45.1
49017,Garfield County,62.3,37.7,39.4,76.1,84.3,27.8,40.4
49019,Grand County,75.7,24.3,25.5,87.7,90.3,76.6,78.2
49021,Iron County,60.9,39.1,28.7,76.6,84.9,53.4,59.8
49023,Juab County,41.8,58.2,40.4,53.0,59.7,35.5,47.3
49025,Kane County,62.8,37.2,41.4,82.7,94.6,56.7,62.8
49027,Millard County,64.6,35.4,25.5,70.2,85.2,42.7,59.6
49029,Morgan County,23.0,77.0,49.8,35.1,51.3,23.7,68.0
49031,Piute County,35.0,65.0,47.3,68.8,69.3,14.2,37.7
49033,Rich County,39.4,60.6,55.1,48.9,53.0,19.2,40.3
49035,Salt Lake County,84.5,15.5,31.9,44.2,72.0,66.6,93.3
49037,San Juan County,72.6,27.4,30.5,59.5,72.1,38.7,58.0
49039,Sanpete County,50.7,49.3,35.7,68.7,75.7,37.6,53.9
49041,Sevier County,58.4,41.6,35.0,74.8,85.8,44.5,59.9
49043,Summit County,48.5,51.5,60.6,44.7,64.2,41.9,74.8
49045,Tooele County,25.6,74.4,41.7,38.3,50.9,22.6,60.4
49047,Uintah County,58.6,41.4,28.2,70.2,78.4,53.7,64.4
49049,Utah County,64.1,35.9,29.2,53.3,73.7,47.4,78.8
49051,Wasatch County,29.5,70.5,49.3,43.5,60.4,32.5,66.3
49053,Washington County,80.8,19.2,23.2,65.7,86.1,67.0,80.8
49055,Wayne County,62.7,37.3,38.1,78.0,83.2,39.7,54.1
49057,Weber County,52.1,47.9,44.0,51.5,74.8,58.2,72.1
