county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,68.4,31.6,26.6,79.8,84.9,46.8,69.1
49003,Box Elder County,47.3,52.7,42.8,53.2,68.8,33.9,65.0
49005,Cache County,64.4,35.6,29.7,73.7,86.6,58.7,69.1
49007,Carbon County,52.0,48.0,38.9,70.5,79.8,46.1,56.2
49009,Daggett County,53.5,46.5,33.2,80.2,82.4,30.3,60.6
49011,Davis County,37.9,62.1,48.5,47.8,70.3,46.5,81.6
49013,Duchesne County,67.5,32.5,34.6,64.9,73.5,52.2,69.4
49015,Emery County,51.9,48.1,41.5,59.7,72.8,38.5,58.4
49017,Garfield County,61.5,38.5,43.4,78.7,88.0,30.6,53.7
49019,Grand County,74.7,25.3,23.0,86.4,88.7,74.0,76.1
49021,Iron County,64.7,35.3,29.2,79.3,88.6,56.3,64.2
49023,Juab County,44.1,55.9,43.4,53.1,59.1,39.9,49.4
49025,Kane County,63.7,36.3,32.6,69.8,81.2,55.9,63.2
49027,Millard County,64.4,35.6,33.0,72.3,84.0,36.9,56.9
49029,Morgan County,26.7,73.3,39.2,43.6,60.8,26.1,70.1
49031,Piute County,34.1,65.9,38.1,59.1,67.4,17.5,36.9
49033,Rich County,49.5,50.5,48.9,59.3,67.5,24.1,58.4
49035,Salt Lake County,86.0,14.0,29.4,46.2,73.7,69.7,92.1
49037,San Juan County,79.0,21.0,26.3,65.8,73.4,40.3,60.3
49039,Sanpete County,48.5,51.5,34.5,73.7,82.5,31.3,49.4
49041,Sevier County,54.9,45.1,32.4,77.8,87.7,44.1,55.7
49043,Summit County,56.4,43.6,49.9,49.7,65.8,49.5,81.1
49045,Tooele County,31.8,68.2,38.8,36.8,49.9,24.1,62.4
49047,Uintah County,67.1,32.9,25.6,69.9,79.7,61.0,70.5
49049,Utah County,65.5,34.5,26.1,58.3,76.3,51.4,75.8
49051,Wasatch County,33.7,66.3,42.6,50.3,68.7,34.3,66.9
49053,Washington County,78.5,21.5,24.6,64.0,82.6,65.5,78.3
49055,Wayne County,66.8,33.2,25.8,87.8,94.3,42.7,55.4
49057,Weber County,52.7,47.3,43.9,53.6,75.7,58.3,71.5
