county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,67.0,33.0,44.8,74.0,80.7,43.1,67.9
49003,Box Elder County,42.2,57.8,44.7,52.0,67.1,31.6,63.1
49005,Cache County,64.6,35.4,29.3,72.9,85.7,59.0,70.0
49007,Carbon County,51.2,48.8,34.8,78.4,83.8,46.1,54.9
49009,Daggett County,36.1,63.9,56.4,75.1,75.1,23.0,41.7
49011,Davis County,37.4,62.6,49.9,48.1,70.6,46.6,80.4
49013,Duchesne County,58.7,41.3,42.2,59.1,70.5,43.3,66.6
49015,Emery County,47.9,52.1,54.1,62.6,77.0,28.8,44.8
49017,Garfield County,65.3,34.7,39.8,77.2,82.6,29.3,40.6
49019,Grand County,76.3,23.7,25.5,84.9,88.2,76.4,78.5
49021,Iron County,61.6,38.4,27.4,75.4,85.5,54.0,60.5
49023,Juab County,43.2,56.8,45.3,52.6,62.0,36.6,49.4
49025,Kane County,65.0,35.0,35.0,78.3,86.7,56.4,63.3
49027,Millard County,66.6,33.4,25.0,70.7,83.7,42.5,60.6
49029,Morgan County,22.4,77.6,46.4,35.3,55.7,23.1,67.5
49031,Piute County,31.4,68.6,54.9,57.4,60.6,16.3,34.2
49033,Rich County,36.6,63.4,57.1,59.4,70.6,18.5,39.1
49035,Salt Lake County,85.5,14.5,30.6,43.8,72.4,67.8,93.2
49037,San Juan County,70.4,29.6,33.6,60.5,71.2,39.9,58.1
49039,Sanpete County,52.0,48.0,34.2,69.0,77.3,37.8,55.4
49041,Sevier County,60.6,39.4,33.7,75.0,86.0,46.0,62.0
49043,Summit County,48.9,51.1,59.2,46.1,62.0,42.9,75.2
49045,Tooele County,27.0,73.0,43.1,39.6,50.2,24.3,62.2
49047,Uintah County,60.3,39.7,28.3,70.9,78.7,54.3,65.2
49049,Utah County,64.8,35.2,27.4,55.1,75.0,48.5,78.6
49051,Wasatch County,29.3,70.7,46.7,45.4,63.5,32.6,65.7
49053,Washington County,80.9,19.1,21.7,66.6,84.5,67.3,80.8
49055,Wayne County,61.9,38.1,37.8,75.1,84.7,35.5,52.3
49057,Weber County,53.4,46.6,43.6,52.0,75.4,59.8,73.0
