county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,70.4,29.6,49.4,,,44.9,70.7
49003,Box Elder County,54.6,45.4,37.9,,,36.1,71.9
49005,Cache County,71.7,28.3,22.5,,,66.4,77.0
49007,Carbon County,62.2,37.8,23.4,,,58.0,69.0
49009,Daggett County,58.0,42.0,73.8,,,32.1,77.8
49011,Davis County,40.2,59.8,43.5,,,50.4,83.6
49013,Duchesne County,70.3,29.7,38.4,,,55.2,79.0
49015,Emery County,69.4,30.6,68.2,,,50.0,75.6
49017,Garfield County,56.5,43.5,68.7,,,33.9,48.6
49019,Grand County,79.8,20.2,9.8,,,81.7,83.5
49021,Iron County,72.0,28.0,17.0,,,62.4,70.2
49023,Juab County,52.8,47.2,31.3,,,48.3,58.2
49025,Kane County,75.8,24.2,19.5,,,65.6,72.0
49027,Millard County,72.0,28.0,33.4,,,39.3,65.1
49029,Morgan County,31.6,68.4,39.7,,,30.1,75.9
49031,Piute County,42.5,57.5,38.3,,,21.1,43.6
49033,Rich County,53.9,46.1,49.4,,,21.7,55.8
49035,Salt Lake County,88.1,11.9,24.2,,,71.9,93.0
49037,San Juan County,88.1,11.9,30.5,,,55.9,76.5
49039,Sanpete County,59.5,40.5,38.2,,,41.2,60.5
49041,Sevier County,65.8,34.2,21.2,,,51.1,66.5
49043,Summit County,58.1,41.9,53.5,,,49.3,85.1
49045,Tooele County,35.2,64.8,32.3,,,30.0,65.1
49047,Uintah County,76.1,23.9,17.1,,,70.6,81.4
49049,Utah County,70.1,29.9,21.9,,,56.3,79.2
49051,Wasatch County,32.0,68.0,41.4,,,33.0,68.1
49053,Washington County,84.9,15.1,13.3,,,71.3,84.8
49055,Wayne County,74.2,25.8,36.7,,,41.9,58.5
49057,Weber County,56.2,43.8,39.4,,,62.0,74.0
