county_fips,county_name,live_work_pct,outflow_pct,inflow_pct,pct_under_20min,pct_under_30min,pct_under_10mi,pct_under_25mi
49001,Beaver County,54.9,45.1,65.1,,,34.7,57.6
49003,Box Elder County,45.9,54.1,46.5,,,32.8,63.8
49005,Cache County,64.4,35.6,28.9,,,58.7,69.7
49007,Carbon County,49.8,50.2,34.6,,,44.7,55.6
49009,Daggett County,36.4,63.6,72.4,,,19.9,44.3
49011,Davis County,34.9,65.1,50.3,,,45.7,80.6
49013,Duchesne County,63.3,36.7,47.6,,,44.7,64.0
49015,Emery County,47.6,52.4,68.6,,,34.9,50.6
49017,Garfield County,54.1,45.9,69.7,,,28.0,46.4
49019,Grand County,72.8,27.2,20.2,,,74.1,75.6
49021,Iron County,66.0,34.0,26.9,,,57.8,64.8
49023,Juab County,44.0,56.0,44.5,,,40.8,48.4
49025,Kane County,61.2,38.8,34.4,,,56.3,61.2
49027,Millard County,64.1,35.9,35.5,,,35.7,56.2
49029,Morgan County,26.9,73.1,47.2,,,26.2,66.8
49031,Piute County,30.8,69.2,54.9,,,15.6,35.0
49033,Rich County,39.7,60.3,69.4,,,20.0,43.2
49035,Salt Lake County,85.8,14.2,27.7,,,68.9,92.1
49037,San Juan County,78.8,21.2,36.9,,,45.1,65.9
49039,Sanpete County,48.0,52.0,44.7,,,32.8,49.2
49041,Sevier County,52.7,47.3,32.5,,,42.2,54.1
49043,Summit County,57.1,42.9,57.6,,,48.9,80.8
49045,Tooele County,32.9,67.1,39.1,,,26.2,62.6
49047,Uintah County,68.2,31.8,25.1,,,64.6,74.0
49049,Utah County,66.4,33.6,25.8,,,51.1,77.4
49051,Wasatch County,33.1,66.9,48.3,,,34.3,68.3
49053,Washington County,81.0,19.0,21.6,,,66.9,80.7
49055,Wayne County,63.0,37.0,45.3,,,37.2,51.8
49057,Weber County,53.0,47.0,42.9,,,58.6,71.5
